Week,Item Name,Category,Ordered Stock,Projected Covers,Stock Left,Season
1,Apple Juice,Soft Drinks,46,292,41,Winter
1,Bacardi Blanco,Spirits,5,138,0,Winter
1,Bira Moretti,Beer,47,194,33,Winter
1,Bombay Gin,Spirits,38,419,23,Winter
1,Captain Morgan Spiced Rum,Spirits,14,118,0,Winter
1,Chardonnay,Wine,15,482,3,Winter
1,Coca Cola,Soft Drinks,20,480,11,Winter
1,Coke Zero,Soft Drinks,48,463,36,Winter
1,Cointreau,Spirits,23,219,15,Winter
1,Corona,Beer,7,475,0,Winter
1,Cranberry Juice,Soft Drinks,27,413,18,Winter
1,Dalmore 12,Spirits,29,266,14,Winter
1,Diet Coke,Soft Drinks,15,273,1,Winter
1,Disaronno,Spirits,15,152,1,Winter
1,Havana Club 3,Spirits,28,123,17,Winter
1,Havana Club 7,Spirits,23,134,13,Winter
1,High Commissioner,Spirits,13,212,0,Winter
1,Irn Bru,Soft Drinks,12,155,0,Winter
1,J20,Soft Drinks,39,147,33,Winter
1,Jack Daniels,Spirits,42,125,30,Winter
1,Kahlua,Spirits,22,494,9,Winter
1,Lemonade,Soft Drinks,31,444,24,Winter
1,Light Tonic,Soft Drinks,23,315,20,Winter
1,Limoncello,Spirits,10,122,9,Winter
1,Macallan 12,Spirits,27,177,17,Winter
1,Malbec,Wine,30,201,19,Winter
1,Martini Rosso,Spirits,19,344,8,Winter
1,Merlot,Wine,33,120,24,Winter
1,Moet,Wine,36,115,33,Winter
1,Orange Juice,Soft Drinks,40,289,30,Winter
1,Passoa,Spirits,18,310,16,Winter
1,Peroni,Beer,28,382,8,Winter
1,Pineapple Juice,Soft Drinks,42,162,26,Winter
1,Pink Gin,Spirits,30,154,19,Winter
1,Pinot Grigio,Wine,8,138,3,Winter
1,Prosecco,Wine,21,222,8,Winter
1,Rijoca,Wine,24,458,22,Winter
1,Sauvignon Blanc,Wine,38,109,25,Winter
1,St Germain,Spirits,47,144,38,Winter
1,Tanqueray 10,Spirits,18,198,0,Winter
1,Tonic Water,Soft Drinks,32,433,12,Winter
2,Apple Juice,Soft Drinks,34,382,23,Winter
2,Bacardi Blanco,Spirits,6,360,0,Winter
2,Bira Moretti,Beer,19,128,0,Winter
2,Bombay Gin,Spirits,41,463,26,Winter
2,Captain Morgan Spiced Rum,Spirits,33,458,31,Winter
2,Chardonnay,Wine,20,398,5,Winter
2,Coca Cola,Soft Drinks,11,497,0,Winter
2,Coke Zero,Soft Drinks,14,389,0,Winter
2,Cointreau,Spirits,33,406,19,Winter
2,Corona,Beer,17,152,0,Winter
2,Cranberry Juice,Soft Drinks,13,495,8,Winter
2,Dalmore 12,Spirits,7,134,2,Winter
2,Diet Coke,Soft Drinks,42,480,27,Winter
2,Disaronno,Spirits,41,345,38,Winter
2,Havana Club 3,Spirits,47,432,46,Winter
2,Havana Club 7,Spirits,5,331,0,Winter
2,High Commissioner,Spirits,23,223,10,Winter
2,Irn Bru,Soft Drinks,35,189,27,Winter
2,J20,Soft Drinks,47,132,30,Winter
2,Jack Daniels,Spirits,31,180,24,Winter
2,Kahlua,Spirits,5,117,0,Winter
2,Lemonade,Soft Drinks,11,169,8,Winter
2,Light Tonic,Soft Drinks,47,293,43,Winter
2,Limoncello,Spirits,38,299,33,Winter
2,Macallan 12,Spirits,7,101,0,Winter
2,Malbec,Wine,41,386,32,Winter
2,Martini Rosso,Spirits,31,236,27,Winter
2,Merlot,Wine,32,365,31,Winter
2,Moet,Wine,47,197,34,Winter
2,Orange Juice,Soft Drinks,40,407,33,Winter
2,Passoa,Spirits,44,357,43,Winter
2,Peroni,Beer,8,366,0,Winter
2,Pineapple Juice,Soft Drinks,18,298,7,Winter
2,Pink Gin,Spirits,33,140,30,Winter
2,Pinot Grigio,Wine,33,105,22,Winter
2,Prosecco,Wine,5,442,0,Winter
2,Rijoca,Wine,24,111,19,Winter
2,Sauvignon Blanc,Wine,12,238,0,Winter
2,St Germain,Spirits,33,484,14,Winter
2,Tanqueray 10,Spirits,48,262,31,Winter
2,Tonic Water,Soft Drinks,18,121,16,Winter
3,Apple Juice,Soft Drinks,28,198,10,Winter
3,Bacardi Blanco,Spirits,39,469,39,Winter
3,Bira Moretti,Beer,20,104,13,Winter
3,Bombay Gin,Spirits,19,196,12,Winter
3,Captain Morgan Spiced Rum,Spirits,15,351,4,Winter
3,Chardonnay,Wine,37,156,30,Winter
3,Coca Cola,Soft Drinks,19,238,8,Winter
3,Coke Zero,Soft Drinks,10,116,0,Winter
3,Cointreau,Spirits,40,346,28,Winter
3,Corona,Beer,42,204,33,Winter
3,Cranberry Juice,Soft Drinks,25,106,18,Winter
3,Dalmore 12,Spirits,33,491,27,Winter
3,Diet Coke,Soft Drinks,8,185,7,Winter
3,Disaronno,Spirits,14,215,4,Winter
3,Havana Club 3,Spirits,41,165,25,Winter
3,Havana Club 7,Spirits,25,491,5,Winter
3,High Commissioner,Spirits,50,457,41,Winter
3,Irn Bru,Soft Drinks,32,152,15,Winter
3,J20,Soft Drinks,19,362,1,Winter
3,Jack Daniels,Spirits,8,370,0,Winter
3,Kahlua,Spirits,19,357,1,Winter
3,Lemonade,Soft Drinks,5,392,1,Winter
3,Light Tonic,Soft Drinks,9,201,0,Winter
3,Limoncello,Spirits,25,267,6,Winter
3,Macallan 12,Spirits,9,404,3,Winter
3,Malbec,Wine,38,235,36,Winter
3,Martini Rosso,Spirits,10,430,0,Winter
3,Merlot,Wine,17,302,13,Winter
3,Moet,Wine,31,364,14,Winter
3,Orange Juice,Soft Drinks,41,295,30,Winter
3,Passoa,Spirits,22,397,11,Winter
3,Peroni,Beer,18,388,1,Winter
3,Pineapple Juice,Soft Drinks,12,180,3,Winter
3,Pink Gin,Spirits,27,377,18,Winter
3,Pinot Grigio,Wine,43,153,35,Winter
3,Prosecco,Wine,25,494,25,Winter
3,Rijoca,Wine,10,194,0,Winter
3,Sauvignon Blanc,Wine,35,446,33,Winter
3,St Germain,Spirits,31,284,15,Winter
3,Tanqueray 10,Spirits,20,233,11,Winter
3,Tonic Water,Soft Drinks,41,289,32,Winter
4,Apple Juice,Soft Drinks,24,123,19,Winter
4,Bacardi Blanco,Spirits,25,194,8,Winter
4,Bira Moretti,Beer,11,366,3,Winter
4,Bombay Gin,Spirits,19,370,12,Winter
4,Captain Morgan Spiced Rum,Spirits,16,203,1,Winter
4,Chardonnay,Wine,30,197,28,Winter
4,Coca Cola,Soft Drinks,6,420,0,Winter
4,Coke Zero,Soft Drinks,5,170,1,Winter
4,Cointreau,Spirits,39,234,29,Winter
4,Corona,Beer,50,122,35,Winter
4,Cranberry Juice,Soft Drinks,15,456,0,Winter
4,Dalmore 12,Spirits,47,317,29,Winter
4,Diet Coke,Soft Drinks,46,218,30,Winter
4,Disaronno,Spirits,29,216,25,Winter
4,Havana Club 3,Spirits,11,491,0,Winter
4,Havana Club 7,Spirits,5,336,0,Winter
4,High Commissioner,Spirits,33,253,22,Winter
4,Irn Bru,Soft Drinks,26,313,6,Winter
4,J20,Soft Drinks,31,384,12,Winter
4,Jack Daniels,Spirits,16,306,14,Winter
4,Kahlua,Spirits,18,188,9,Winter
4,Lemonade,Soft Drinks,50,488,45,Winter
4,Light Tonic,Soft Drinks,48,210,33,Winter
4,Limoncello,Spirits,12,362,0,Winter
4,Macallan 12,Spirits,42,302,39,Winter
4,Malbec,Wine,26,332,12,Winter
4,Martini Rosso,Spirits,46,385,43,Winter
4,Merlot,Wine,16,438,0,Winter
4,Moet,Wine,32,120,21,Winter
4,Orange Juice,Soft Drinks,5,190,0,Winter
4,Passoa,Spirits,41,145,32,Winter
4,Peroni,Beer,27,302,12,Winter
4,Pineapple Juice,Soft Drinks,39,476,35,Winter
4,Pink Gin,Spirits,46,308,40,Winter
4,Pinot Grigio,Wine,22,167,7,Winter
4,Prosecco,Wine,7,301,6,Winter
4,Rijoca,Wine,23,407,3,Winter
4,Sauvignon Blanc,Wine,48,115,32,Winter
4,St Germain,Spirits,19,159,11,Winter
